username,rating,comment
rik0ooo,5,Love the ring!! It’s so pretty.. 💚💛💜
b*****o,5,Super happy with the items and was well packed and delivered. Thankyou !
wendylimmm,5,"Ordered it during the shopee live and collected it a week later, very pretty!"
f*****g,5,True to what I see during the shopee live. Love it. The CS is very helpful and friendly too. This is a repeat buy.
m*****4,5,
s*****y,5,Delivery was done within. 2 days after payment. Nice rings gotten during live session.
evetoh88,5,"Received within 4wds. Fast!
Wao wao wao, gorgeous bracelet and rings ❤️❤️❤️ 
Can never stop to buy since I started to know there is live. 🤩🤩🤩
How can anyone resist~ the actual pieces are more stunning than videos on live. ☺️👍🏻"
j*****8,5,Gorgeous premium A grade full jade bracelet. Prompt delivery and seller is helpful with good product knowledge. Recommended! Bought several gems bracelets and rings at reasonable price.
xaverielee75,5,Super love it to the max! Very pretty & elegant piece for 2022 zodiac bracelet!
0*****c,5,Add the fortune cat charm to enhance the beauty of the bracelet together with pineapple moonstone..definitely Huat the whole year..😁😁😁
milkbone81,5,Very pretty … thank you seller!
wendylimmm,5,Repeated ordering from the same seller. The bracelet is so pretty and exquisite. Thanks
q*****s,5,"Pretty bracelets but do note that there are some natural inclusions (notably on the main moonstone pineapple & pearls…) delivery also took longer than expected, although I see reviews of newly launched products on the same live before my delivery?CS also missed out on my msg for a day until prompted"
j*****e,5,The combination is nice but well.. some of the crystals are not smooth surfaces especially the main crystal.
m*****m,5,Watching their weekly live is very harmful on my wallet. All their bracelets are soooo pretty!
t*****m,5,Pretty Jade bracelet.
t*****m,5,"Happy wif my 🦁 fumao and ingots.
Super lucky manage to fff and get them. 
Love my rings too.
Thank you for the super fast delivery!!
 Happy CNY! Huat huat 🐯"
slloh001,5,Well packed and very nice bracelets! Quality is good! Really pretty.
m*****o,5,"Very responsive seller. Added  2 extra charms. Seller is v patient to give me suggestions on where to place it n send me pic to cfm. Beautiful , love it. ❤ thank you. 😊"
tgp_jt,5,This is a beautiful piece of ruby bracelet.. the wrist size is correct. Love it to max!!
tgp_jt,5,Love the tanzanite ring at first sight. Very nice! And easy to adjust it.
caizienergy,5,Delivery took slightly more than a week. Items came in gift box and sealed in pink bubble wrap envelope. Gorgeous earrings and ring. Free zircons and gift were given as i feedback on zircons dropping out from previous buy. Thank you!
j*****8,5,"Lovely Gem and friendly, knowledgeable and attended sellers. Happy with my purchases. Will stay tuned for more awesome Gem ♥️"
j*****8,5,"Awesome Gems and very glad that I've found a seller who's friendly, helpful and knowledgeable. Love watching the Lives, will definitely stay tuned to claim more precious Gems 💎 This is my 3rd purchase ♥️"
r*****s,5,Received items in good condition. Very beautiful pieces. Thanks.
0*****c,5,"Speedy delivery.Super love the bracelet from Jam stones.Reasonable pricing.Will definitely not stopping at 1,2,3.."
lemonsugarpop,5,Repeat purchase from Jamstones LIVE sales. Took about 2 weeks to receive this order. Finally some luck with fumao bracelet this round and a cute pineapple bracelet for a prosperous year!
m*****n,5,"Super cute bracelet! Quality is good, went down for resizing as it was a little too big for me."
0*****c,5,Speedy delivery.Item is well received and super love it.Thanks for rushing out the item before CNY.Many thanks to Jam team.Wishing you all a Prosperous New Year and Huat ah...🍍🍍🍍🍍🍍🍍🍍🍍
m*****t,5,Received in good condition. Very Lovely and pretty bracelet. Look forward to more designs
q*****s,5,Repeat purchase of the rings. Beautiful designs. Think darker gems may look nicer?
ilovejaggerbombs,5,"Very pretty, fast delivery, will definitely purchase again highly recommended!"
jusinvisiblealissa,5,"Delivery was ok, packaging was nice and i love it alot thank u"
yixuanpenelope,5,Good quality products with good customer service! Totally love my purchase!
s*****8,5,Wow gorgeous bracelet!! Bought it during live and have upgraded to red rutile 14mm thanks for your flexibility 👍have been buying many many bracelets from them is so addictive each see the beautiful bracelets 😅will buy again if there is unique designs😜Thanks seller 🤩
yingyingchch,5,"Nice citrine and amethyst tree..

Love the zodiac bracelet but seller didn’t match the charm based on my request.. 

It is still ok… cos the heart shape also looked nice!"
l*****g,5,well received! hope that it’ll bring me a great new year ahead :)
j*****g,2,"Bought 2 pieces. 1 was sent wrong. Seller was nice to provide 1 to 1 exchange. However the crystals are not of good quality, the strings for both sticked out, should hav QCed more. Edit:Just realised my bracelet short one one bead spacer for main stone. Should have checked the product before shipped"
f*****c,5,Return buyer and so in love with the tanzanite ring!!!!!!!!!
b*****o,5,Happy with the items delivered and was well packed too. Thankyou seller!
j*****g,2,"Bought 2 pieces. 1 was sent wrong. Seller was nice to provide 1 to 1 exchange. However the crystals are not of good quality, the strings for both sticked out, should hav QCed more."
p*****n,5,Super pretty! Totally worth it. Pineapple huat huat! Power!
s*****g,5,the bracelet is really pretty 🥰 I love it!!!
k*****s,5,Fumao charm is super cute and the white sheen grey moonstone is gorgeous!
k*****s,5,Fumao charm is super cute and the white sheen grey moonstone is gorgeous!
vkhoo81,5,"OMG, so chio! Jamstones bracelet is always a gorgeous piece. Manage to snatch this nine tail foxy super huat bracelet and super stress lah coz her 1 piece design is really 1 piece only. Fastest finger first. Super worth the stress.🤣"
ashleyytann,5,Beautiful beautiful beautiful! Loving the bracelets so so much! Every piece is soooo gorgeous! Thank you!❤️
m*****t,5,Received in good condition. Nice pair of earring and key charm . Thank you
l*****h,5,"As usual, really pretty design from jamstone! The satin spar came with impurities. But seller mentioned that it’s the nature of satin spar. Still pretty nonetheless."
g5txcueyva,5,Love the bracelet! Bought during live. Looking forward to more promos.
perfeten69,4,The physical product I received is not as shiny and bright as what was advertised. It doesn't show the true aura of what a crystal should be.
sihuisherina,3,There is some miscommunication and it took more than a month to deliver to me.
yingyingchch,5,"Nice bag charm and cute selenite towel ! 
Finally my charm arrived! Love the production from jamstone"
m*****t,5,Received in good condition. Very nice well made bracelet. Hope to see more designs. Thank you
k*****8,5,"First time buying from live. As usual, very well packaging and the product quantity are good. Will look forward for their new products. Friendly and helpful support from them. Will likely to buy again soon. Thanks!"
l*****0,5,First time purchasing. The ring purchased during live. Very pretty and good to give as gift
yixuanpenelope,5,Cannot stop looking at my rings! Don't know how many times I purchased from seller already... quality is really good!
c*****m,5,2nd purchase and it never disappoint me. Everything is so pretty!
brandilyjadechan,5,Love how beautiful Jam had created each bracelets and differenr meaning behind it ❤️
___umi___,5,Prosperity bracelet is beautiful with the red rutile quartz and labradorite stones. Such an unusual combination but it definitely works. So pretty❣️
___umi___,5,Jupiter modified with a irregular citrine. ❤️ the shine and sparkle of the citrine and hematoid quartz.
wendylimmm,5,Love the colours of this bracelet it goes very well with my skin tone. Deffo recommend
j*****y,5,Another gorgeous piece from Jam Stones! Love the tranquillity of this beauty
q*****s,5,"Bought during live and received safely, about 1.5 weeks later. Repeat purchase!"
___umi___,5,Original bracelet had smaller stones. Modified with two larger tiger eye. Love the arrangement of the stones. ❤️ the stripes on the tiger.
j*****c,5,"Item well received. Love the bag charm! 
Even got free hong bao for this purchase."
k*****s,5,Bracelet is really pretty.. bought this during live and happy with my purchase
lisa_stars,2,"1st purchase. Dislike. Dull coloured stones.Rings look cheap. Earrings are basic, quality better than the ring.Stone fell out b4 wearing during size adjustment. Seller offer exchange or store credit. Still NEED to exchange at the shop. Won’t buy again.Box is cheap not individual per pc."
j*****e,5,Fast delivery of the rings :)  very lovely rings
e*****4,5,Weekly live claims 😅😅😅 always spend and buy alot cause of the good deals. Quality is good!
e*****4,5,Weekly live claims 😅😅😅 always spend and buy alot cause of the good deals. Quality is good!
joy_ce,5,Order received with thanks. Third purchase. Beautiful spinning ring. Highly highly recommended.
joy_ce,5,Order received with thanks. Second purchase. Beautiful bracelets. Highly highly recommended!
baoyibaobao,5,Happy with the purchase and its well packed ! Thankyou seller !
tentenphang,4,Item received within one week. Fast delivery. This round delivery man followed instructions placed the item at designated place. Thank you! This bracelet not so pretty but not too bad.
j*****3,5,Happy with the items and it was well packed and delivered ! Highly reccomended !
j*****o,5,Fast delivery. Well packed product . Recommended to everyone ☺️
cinowene,5,Top up to change to black rutilated quartz & silver sheen obsidian! Very professional & knowlwdgeable service provided! Highly recommended seller!
b*****o,5,Happy with the purchase and its well packed ! Thankyou seller !
g5txcueyva,5,Got during live sales! Collected from the store outlet. Highly recommended.
yingyingchch,5,Dainty and elegant piece! Likes the rainbow colour. Collected from the store outlet and welcomed by male staff politely and even requested to testing to wear the bracelet on the spot!
w*****0,5,Happy with the items and delivered well thank you so much
michellemoo6,5,SUPER GORGEOUS BRACELETS + FU MAO!! What a steal during their weekly live streams. Delivery is considered prompt despite the holiday season. The girls are really nice and patience plus clarifying my bracelets size before shipping out. Never fail to impress me with all of my orders😘 WELL DONE 👍
michellemoo6,5,SUPER GORGEOUS BRACELETS + FU MAO!! What a steal during their weekly live streams. Delivery is considered prompt despite the holiday season. The girls are really nice and patience plus clarifying my bracelets size before shipping out. Never fail to impress me with all of my orders😘 WELL DONE 👍
b*****e,5,Super pretty pieces ! Moonstone pineapple is gorgeous with blue sheen. Pearl bracelet is pretty too
wendylimmm,5,"Ordered during the live, some discount was given, the quality is good, comes with a nice velvet pouch, thanks seller."
wendylimmm,5,"Bought it with some discount, fast delivery, thanks"
cinowene,5,Bgt this larimar over live...its so pretty & good quality! It is quite chonky piece too! Super worth it!
lisa_stars,3,Ok. Not cheap for adjustable ring. Color is not bad. Metal is light and look basic. Box is not individual for the ring. Came with another ring. Still have to buy box for gift.
yixuanpenelope,5,I'd say these products are good quality! I cannot remember how many times I bought from them during their livestream and they never fail to disappoint me!
b*****o,5,Happy with the purchase and its very nice. Thanks seller for the fast response
q*****s,4,Had some hiccups with this order. But seller managed to settle for me and I received order in time. Have been buying from this seller and will continue supporting in future. Hope seller admin communication can be improved (:
l*****g,5,"received in good condition, looks much darker in real life than in pics!"
j*****3,5,Pretty items just as shown on live. Seller is super nice too!
j*****3,5,Pretty huggies earrings and fast delivery and well packed ! Thanks seller !
perfeten69,4,"As usual, impulsive buying during the live sales😅😅😅😅😅😅. 宁杀错，不放过! 走过不要错过。Seller should inform buyer when items are ready for collection. Thanks 😊."
perfeten69,4,"As usual, impulsive buying during the live sales😅😅😅😅😅😅. 宁杀错，不放过! 走过不要错过。Seller should inform buyer when items are ready for collection. Thanks 😊."
b*****e,5,The rings are beautiful and so stackable. Can’t wait to wear them out.
vkhoo81,5,"Delivery was really fast. Love their new delivery guy. Very efficient. Getting more of jamstones bracelet. All so pretty. The babylon bracelet is so pretty, i am glad i bought it. I love phantom quartz alot and also their rutilated quartz bracelet."
k*****_,5,Love the bracelet! Super pinkish and matches the rose gold metal parts of the bracelet :) thankyou seller!
r*****e,4,"Successfully claimed during 12.12 shopee live. CS & communication could be better. Perhaps high volume of messages during this holiday season, but it took >1 day to have a definite response on estimated delivery date.."
cinowene,5,Beautiful Jadite ...this is my 5th purchases with Jamstones/Lavval!!! Highly recommended seller!
a*****e,5,Repeat purchase from jamstones. Good delivery service and seller is helpful. Item well recd 2 days after purchase. Thank you :)
lemonsugarpop,5,Ordered during 12.12 Live and received on 21.12. Seller is responsive in chat and thanks for assisting to expedite my order in time for Christmas. In love with the sparkling snowflake ring & earring set. Will definitely purchase again
vkhoo81,5,Love the stacker bracelet and opal earrings. They are so pretty. Opal fire is so strong.
yingyingchch,5,"Lovely simple designs and high quality product! 
Repeated buyer from this seller! 🥰"
n*****5,5,"First time purchasing huggies & they didn't disappoint 😍 It was ready really quickly too, got it during Sunday night's shopee live & ready for pick up on tuesday, in time for Christmas 👍🏻👍🏻🎄🎄"
p*****n,5,Enjoyed the live so much! So many pretty items and of good quality!
gloomeybears,5,My citrine looking great with my wedding ring. 🥳 great buy! And great service! for helping me with my mistake.
tgp_jt,5,Item well received. Is small and match well with different bag.
vkhoo81,5,The golden sheen obsidian fumao is sooo cute. Must buy! Luckily i managed to buy one. Thanks seller for the patient… 😅
vkhoo81,5,"The bracelet is really gorgeous. Jamstones one piece design is really worth it! Really
Love their seraphinite and kunzite bracelet. All have gorgeous sheen!"
vkhoo81,5,The citrine ring is so pretty and the crystal size is what i like. Not too small
r*****e,5,Bought opal ring during shopee live. Like the new packaging. Won giveaway but some hiccup during self collection this time. Waited >30 mins at the store….
tgp_jt,5,Very nice and sweet! The hardware is very secure and shiny. Thanks seller.
perfeten69,5,Well received. Take bit longer to receive. Some alashan beads are quite tiny. Courier service (Ninja) ALWAYS DID NOT FOLLOW instructions! 😡😡😡😡. Very disappointed!
a*****n,5,Fits perfectly. Love the necklace - pretty and length is adjustable. Bracelet is okay as in quality is average. Seen better ones elsewhere. Size is just nice. Packaging is cute! Thanks seller.
s*****8,5,"Ordered and waited quite long due to the disputed on the dispatch. After checking with the seller , immediately help to arrange via courier service. I received the next day . Thanks seller for the swiftly actions and service 🤩👍"
carineneo,5,"Take a while to arrive, the Huat Huat cai shen is so nice. Thank you!"
s*****8,5,Have been buying numerous times. 12.12 deals great to receive all items before Christmas 🎄 beautiful bracelets 👍 and will buy again if any unique design coming up 🤩
c*****6,5,"Loving the bracelets! Admin was responsive, very very nice and understanding!! Fast delivery as well, shipped out yesterday and received today"
f*****n,5,Received item in good condition. Its rlly pretty. Hope to have better sales from seller
t*****8,5,Items well received in good condition and with fast delivery. Thanks seller!:)
a*****3,5,Very elegant and delicate.
sherrine1314,5,Nice items and relatively fast delivery.. repeated purchases... recommended
b*****o,5,Happy with the purchase. Hopefully the gems don’t drop this time! Good buy. Thanks seller
cinowene,5,Repeated buying frm Jamstones...good quality crystal bracelets...worth buying!
l*****g,5,"received in good condition, lovely bracelet & a dainty red garnet ring."
y*****h,5,"Beautiful and well made designs! 

Only slightly sad that my previous moonstone ring the side zircon dropped only after single wear? 

Wondering any repair service? 

Otherwise, really pretty nice and attractive bracelet!"
p*****n,5,Super gorgeous!!!!!!! Collection at store is fussfree too. I love it!
y*****h,5,"Sparkling and well made bracelet! Love the designs and charm! 
Kudos to fast respond for the customer service team!"
yinmp2,4,Received in 5 days after order. The ring looks nicer in photos than in reality and on finger. This design would be nicer as a pendant than as a ring. Saw black spot inside the stone. Don't know if it's defect.
s*****8,5,Ordered on Dec 5 and received via doorstep on Dec 13. Took a week for local delivery properly due to festive season 🎄🧡 is okay ☺️love the items are so nice 😊 have been buying from them 🤩☺️thanks seller ✌️
caizienergy,5,Am very pleased with the item and packaging when it arrived. I’m sold bcos of that. But delivery took almost a week which is consider slow as it’s a local seller. Had DM to push for faster delivery if not I think delivery would take longer. Delivery process can be improved.
t*****8,5,"I’m satisfied with my purchases, thank you seller. Will purchase again next time."
l*****2,5,My 3rd purchase and satisfied as usual
vickylhy,5,Bought during 12.12 live stream sale… got it within 3 days 👍🏻
s*****8,5,Well received via your doorstep. My fourth purchased from them and will continue to buy.This time the waiting time was much longer then my earlier purchased could be due to the festive season their business was super good . But is okay for the wait . Thanks seller for the bubble wrapped parcels 🤩👍
nsl2010,5,Purchased the phantom quartz during shoppee live.....much smaller in size than I expected...really tiny........but its very interesting looking into the globe.....
nsl2010,5,Purchased the aquamarine ring during shoppee live...looks gd in pix ...but with lots of inclusions.......................
s*****8,5,"This is my 3rd time purchased. Items are Bubble wrapped , well received via your doorstep. Love it’s to max 🤩 is so beautiful. The actual is much nicer than in the Live . The ring also very nice🥳Still will buy if they have special and nice design . Thanks seller 👍"
qiqi_82,5,"Paid on 21 nov, received via courier on 6 dec. Had to resize to a loose fit which i like, so prolly the wait
Had to snatch from during live their bracelet very hot cakes
Quality very good the elastic is thick and crystals are pretty in rose gold spacers and charm, packaging is shiny too. Thank you!"
greendotalways,5,Bracelet fits perfectly and looks nice !!!! First time buying
cherylannchong,5,1 week to receive an instock and ready product (their last and only piece). Pretty long considering local seller. But overall still happy with my purchase!
greendotalways,4,"Waited over a week for delivery, abit slow but all looks nice !"
l*****2,5,Pretty simple nice ring
l*****g,5,"received in good condition, got the bracelet together with the stacker ring."
l*****g,5,"received in good condition, first time purchasing ear rings from them."
graciesng,5,2nd purchase from Jamstones....this time a pretty Aquamarine ring for keeps.
lionyn,5,"Not my first purchase from Jamstones. Simple, pretty and feminine!"
vkhoo81,5,"The rings are so gorgeous, it’s suitable for daily wear as it’s dainty. Love all their rings, now i have so many i dunno which one to wear first."
vkhoo81,5,"The rings are so gorgeous, it’s suitable for daily wear as it’s dainty. Love all their rings, now i have so many i dunno which one to wear first."
joy_ce,5,Order received with thanks. Very beautiful. Will definitely purchase again.
k*****l,5,necklace came in a very nice packaging. so pretty. ninjavan service is great with updates on the delivery status compared to others. Person who delivered was also very polite.
q*****s,5,Bought during 11.11 Shopee live sale. Super worth it! Love it so much. Would have bought more if I was quicker 😂 hope the upcoming 12.12 sale would be amazing too 😛
baoyibaobao,5,Really love this topaz ring !! Thankyou for also replacing my older rings ❤️❤️❤️
perfeten69,5,"The BESTEST deal!!!!! BEAUTIFUL bracelets... 宁杀错，不放过! You will never regret... 😅😅😅😅😅. The price is so affordable much better than getting over from the shop. Lololo.. they are so gorgeous. 
I'm addicted on it! Never miss from the LIVE sales.. 🤣😂🤣😂!!!! 10Q 🙏 ♥."
e*****s,5,good quality and received product as advertised. highly recommended!
icy_sky24,5,Had it customized and took some time as they are very popular now! This is such a pretty gift and I hope  recipient loves it too. Thks seller!
r*****e,5,Bracelet is so pretty. Awesome buy during 11.11 shopee live sale! Repeat purchase from seller
b*****o,5,
cinowene,5,Repeated buyer cos their quality of crystals r good & superb! Service is very good too! Highly recommended!
n*****s,5,"Bought these 2 rings off live, love the tiara looking one more!!!! Took awhile to reach me but i think it’s cos of 1111 sales but worth the wait. Looking forward to more purchases with jamstones!"
tentenphang,5,"Beautiful 🥰🥰 , lovely 😍😍 & gorgeous 💕💕 bracelet. Very happy with my purchase. I'm it will bring me luck & well protections.❤️❤️❤️❤️"
x*****e,5,Love the bracelets and rings! All my crystal items from them.
x*****e,5,Love the bracelets and rings! All my crystal items from them.
shiyatann,5,Well received! Nicely packed ! Love it so much! Thank you!🥰
tgp_jt,5,Well received. It was nicely wrapped and secured. Just nice for Christmas gift.
v*****1,5,"The rings are so pretty, love the necklace too. It is smaller than the 1st necklace i bought so now i have 2 sizes to wear."
tgp_jt,5,Good well received. This is really lovely and very nice. So happy with the purchase
tgp_jt,5,Well received. Really beautiful. Thanks seller wrapped it nicely.
k*****n,5,Ordered 21.11 delivered 26.11. Very pretty and dainty stacker ring! (:
candiceckl,5,Very beautiful items bought it during live sale which is worth it! Thanks seller!
l*****2,5,Very nice ring. My hand small so cant wear big rings this one jus nice. Elegant looking garnet ring
f*****n,5,Previously received a defect ring - gem fell out. Seller did a prompt service recovery and offered an exchange or store credits. Got 1 ring as service recovery and the other was bought
l*****g,5,received in good condition! simple yet cute piece. their bracelets are always so nice 😢
joyceleecheng2,5,Received the lovely bracelets and necklace! Unfortunately the bracelet meant for myself was like XXS unlike the previous piece I received. But all’s good as the kind vendor does resizing at the physical store. 😊
yixuanpenelope,5,My 3rd buy and still no regrets! Fast delivery and good quality products! Pocket forever got hole every time jamstones have livestream!
dextortan,5,"Bought Fumao and mystery box during their shopee live. Fumao is tiny, but just the right size to sit under the citrine tree which was also bought from them. Good deal for the mystery box, $30 with so many crystal in the box, lucky i was fast enough to grab it in their live."
j*****e,5,Super pretty and adjustable ring! Delivery was pretty fast too! Thank you seller!
x*****x,5,Nice crystal and receive in very good condition. Each comes with individual pouch. Love it
x*****x,5,Nice amethyst necklace. It look clear and purplish. Nice buy.
m*****z,5,Delivery took more than a week. Well wrapped and items received well. Bought in time for xmas gifting!
perfeten69,5,Very happy with my purchase. They are so beautiful and value for money. Should grab more during live sales...😛😜🤪😀😃😄😁.
vaslynn,5,love the bracelet so much!! seller very friendly too! delivery is very smooth!
vaslynn,5,love the bracelet so much!! seller very friendly too! delivery is very smooth!
vaslynn,5,love the bracelet so much!! seller very friendly too! delivery is very smooth!
l*****g,5,"received in good condition, adjustable ring and it’s v pretty!!"
k*****n,5,"Ordered 11.11 delivered 20.11. Very dainty and cute, love it! Good as gift (:"
cinowene,5,Bgt this during Live...super worth it...the quality of the crystals r amazing...it is so pretty too!
sukwek,5,"Item received in well bubble wrapped envelope. Nice little key charm, thanks seller !"
joyceleecheng2,5,Thrilled to receive my black-toned bracelet! The ladies at Jam Stones have outdone themselves again in assembling this bracelet. 😍💕 Thank you!
perfeten69,5,Beautiful combination💙💙💙💙💙💙💙... Love it to the max!!!! Well packed. 👍👍
karenlimlcl,5,"Collect at the shop, easy n friendly staff. Love the ring 😍"
b*****o,5,Happy with the purchase and well packed ! Thankyou seller for good and pretty rings !
s*****y,5,First time buying. Item received in well-packed condition. Definitely will purchase!
j*****3,5,Happy with the items and things were well wrapped! Thanks seller !
yixuanpenelope,5,"My 2nd order from seller! This order came super fast and items as usual was very well wrapped! Seller packed my items in a gift wrapped box which is very thoughtful, seems like buying myself presents!"
wendylimmm,5,"First time buying this bracelet via Shopee Live, the item is well packed. I bought it for my mum and she loved it. Thanks. 👍"
joyceleecheng2,5,Lovely ametrine ring as it is the chunkiest at that night’s live stream . Hope the ladies will do chunky statement rings one day. The cutesy tiny rings are too sweet and does not make a statement. 😂
perfeten69,5,Beautiful 🖤🤍🖤🤍🖤🤍 combination. Love it to the max. Well packed 👍👍.
cinowene,5,Bgt during Live! Very happy with the purchase! Highly recommended!
___umi___,5,"Love the bracelet. Rutilated quartz & obsidian is faceted. The snowflake charm is pretty. Overall, very 🙂. Thank you."
b*****o,5,Happy with the purchase! It was well packed and delivery was pretty fast ! Thankyou !
candiceckl,5,"Item well received and in good condition, thanks seller. Love the crystals so pretty!"
dreamer.sk,5,Well received in good condition. Each ring nicely placed in ring box and bubbled wrapped. Cute citrine star and black rutilated quartz rings.
bellajojo,5,2 purchase . nice and beautiful
candiceckl,5,Item well received but not sure whether is it the correct side though. Need to check with seller
a*****n,4,"Item received in good condition, pretty design bracelet but almost 2 weeks of waiting time."
viviantwelve,5,Bought during live. Took a while for seller to dispatch. Delivery is fast. Received in good condition.
s*****8,5,The ring is so pretty!!!!! Prettier than shown on the shopee live.. Love it!
yixuanpenelope,5,Item received promptly! Got the ring during their live and totally loving my purchase! Will continue to buy from their live coz it's a good deal!
y*****m,5,Thank you for expediting the shipping! I appreciate it very much!
joyceleecheng2,5,Very glad to receive my purchases after some time. 😊 The unicorn is tinier than expected though but am sure it will be loved by my recipient. Love the larimar pendant. Thoughtful of seller to add in a care card for the jewellery. 💕
ritanatasha,5,Well received. Oh my god so pretty. It's no regret buying this even though price is expensive.  Looks exclusive and pretty. Can't wait to wear it.
felichew,4,Bought the jade pendant during Live. Delivered in 11 days. Delivery man ask whether can put in mailbox & I agreed. But the parcel cannot fit in the opening & he just left it half in/out. Awful delivery service.
sharmaine_lim,5,"First time buying from them. Took quite some time to receive, maybe due to customisation."
honeyclouds22,5,Very pretty and good quality item! Love the larimar necklace!!!
ntls0x4yqa,5,Really love my ring! Look at the sheen! Thanks seller for the pretty dainty ring 😊
j*****3,5,Love the ring so much and items was well packed when delivered.
ntls0x4yqa,5,First time purchasing bracelet from seller. It’s super gorgeous! The stones are very pretty! Highly recommended 😊
dreamer.sk,5,"2 Unicorns Quartz, both are pretty in its own way. Cant decide which to keep and which one to gift to a dear friend. Well received in good condition. Bought it during live sales with 8% off."
sherrine1314,5,A beauty !! My 2nd purchase!!  🥰😍
j3nnyyeo,5,"Product receive in good condition, unique and pretty. Good to get using vouchers. Thank you 😊"
___umi___,5,"Beautiful bracelet. Love it❣️If I could improve it, I would make it less bling but the stones are pretty!"
sherrine1314,5,1st purchase... Nice bracelet .. i ordered for in rose gold but came in silver.. but it is ok.. still pretty
a*****s,5,first time purchasing via a livestream. will be placing my next order again during november (:
r*****l,5,"phantom quartz necklace w complimentary rose gold chain! Peachy bracelet with Peach moonstone and sakura agate, pretty crystals! Repeated purchase with seller! 😊"
y*****m,5,Got this during the 10.10 Live sales. Blue topaz to help me cope with anxiety. Thank you so much.
ritanatasha,5,"Nice citrine ring,  loving it so much.  Thanks Jamstone."
ritanatasha,5,Lovely moonstone ring.  Ordered few items already.. Loving it so much
dreamer.sk,5,Bought it during live sales with 8% voucher. Have always love druzy agates and star is my fav icon. I dont have a brown piece so decided to grab it.
y*****9,5,[ 38J ] ♡ So amazed by how beautiful it looks near the sunlight. It's like transparent starfish under the ocean. 😍💓
a*****3,5,Very beautiful and sweet rings. They will fit on any fingers and thanks to the adjustable ring mechanics. Very nice dealers and their service is superb. Will purchase from them again.
l*****g,5,"received in good condition, pretty bracelet from the 12.12 marathon 🥰 moissanite ring is a tad bit expensive in my opinion 😅"
sherylyeohq,4,Not perfect with a bit imperfections here and there. Wasn't mentioned during the live of the imperfections though they did show the piece and i wasnt able to see it..
evetoh88,5,"Lovely Fumao bracelet 🥰🥰🥰
So happy to got it on live! 
Fast selling and sold out within few mins."
rorokeat,5,Beautiful rings n bracelets from Jamstones as always :D
