Unnamed: 0,follower,no_of_followers,no_of_followees,is_private,ratio,no_of_posts,,Notes
2142,fluffled,1543,599,FALSE,0.388204796,946,,
10971,lovelights,1539,965,FALSE,0.627030539,1282,,
2164,mamakken,1535,1102,FALSE,0.717915309,1429,,
12742,thegraciousjan,1534,315,FALSE,0.205345502,279,,
10066,thebeadingbuddies,1512,98,FALSE,0.064814815,669,,
2389,curvaceousgownssingapore,1504,235,FALSE,0.15625,1174,,
4471,nataliesim_,1498,1067,FALSE,0.712283044,295,,
2165,___audreysing___,1493,856,FALSE,0.573342264,1251,,
7225,neya.a,1492,1321,FALSE,0.88538874,219,,
12007,creamystones,1492,890,FALSE,0.596514745,215,,
5035,ai_ling0,1491,1216,FALSE,0.815560027,168,,
10827,poyo_moochi_kiyo,1487,1269,FALSE,0.8533961,1251,,
8413,the.blimeybunny,1470,883,FALSE,0.600680272,104,,
8589,67andreaaa,1464,860,FALSE,0.587431694,387,,
11945,flo_ng,1447,1210,FALSE,0.836212854,284,,
2673,priscillaliady,1445,1089,FALSE,0.753633218,645,,
5512,ciphz,1435,695,FALSE,0.484320557,476,,
11112,tine.valiente,1435,811,FALSE,0.565156794,722,,
9234,thepaperdollsx,1422,872,FALSE,0.613220816,665,,
10059,rainbowstory101,1421,920,FALSE,0.647431386,340,,
3775,meeningfully,1396,860,FALSE,0.616045845,1717,,
10219,iamkahmoon,1395,1159,FALSE,0.830824373,774,,
13025,jiggly.roll,1390,78,FALSE,0.056115108,173,,
1948,miiisstess,1389,879,FALSE,0.632829374,2224,,
5989,shazwani.shazasg,1374,1009,FALSE,0.734352256,1310,,
7141,charmaine.alita,1372,1198,FALSE,0.873177843,106,,
1540,sheismyntleong,1361,960,FALSE,0.705363703,5370,,
8946,jamietoh,1351,1280,FALSE,0.947446336,3955,,
10555,aliciaaalimm,1346,839,FALSE,0.62332838,157,,
50,museofmagick,1343,845,FALSE,0.629188384,136,,
9569,graciaaong,1342,572,FALSE,0.426229508,230,,
7107,me0wsniff_,1335,1201,FALSE,0.899625468,244,,
12405,jenix_ee,1334,453,FALSE,0.33958021,327,,
13403,stylebyjane,1325,1033,FALSE,0.779622642,102,,
9351,shanbearlyawake,1295,684,FALSE,0.528185328,222,,
4193,schannen38,1289,1240,FALSE,0.961986036,938,,
4192,dailyfarts,1289,1240,FALSE,0.961986036,938,,
355,trickofgrammar,1274,878,FALSE,0.689167975,149,,
11133,nananana_tan,1263,939,FALSE,0.743467933,394,,
7275,weitingx,1261,297,FALSE,0.235527359,283,,
11846,whendidyou,1261,1125,FALSE,0.892149088,1349,,
9268,hamikogoh,1252,1232,FALSE,0.984025559,1311,,
10807,exquisitehandmadefinds,1235,1040,FALSE,0.842105263,1359,,
4885,ashlecious,1234,992,FALSE,0.803889789,133,,
10449,sharonchiasj,1232,1002,FALSE,0.813311688,3494,,
6171,yyingjiee,1220,997,FALSE,0.817213115,2602,,
8640,krystaltyl,1218,1005,FALSE,0.825123153,126,,
12857,amie3luv,1213,1128,FALSE,0.929925804,199,,
11052,justmeliling,1211,741,FALSE,0.611890999,639,,
1586,mimigem.mlms,1204,885,FALSE,0.735049834,101,,
2443,jewltkx,1204,1011,FALSE,0.839700997,5991,,
13343,lashdoitsg,1201,1137,FALSE,0.946711074,131,,
5808,simpliyulin,1201,1097,FALSE,0.913405495,1789,,
7042,abibbigail,1197,673,FALSE,0.562238931,393,,
7043,spiritual.susan,1197,673,FALSE,0.562238931,393,,
13321,fhl.creations,1188,908,FALSE,0.764309764,316,,
9737,lilabenyy,1172,184,FALSE,0.156996587,979,,
5571,verniiice,1171,964,FALSE,0.82322801,189,,
2779,allurecloudshop,1166,1119,FALSE,0.959691252,394,,
3997,raisa_oilforlife,1166,889,FALSE,0.762435678,553,,
8125,newagegaia,1157,5,FALSE,0.004321521,108,,
8812,jassgiselle,1145,308,FALSE,0.268995633,117,,
8311,crystal_yupp,1143,617,FALSE,0.539807524,1009,,
10417,lilyteolc,1142,932,FALSE,0.816112084,892,,
2216,sona.crystals,1140,624,FALSE,0.547368421,189,,
10354,emomotamus,1140,544,FALSE,0.477192982,4065,,
9664,the.fayes,1134,52,FALSE,0.045855379,104,,
1691,n.kayris_hy,1126,908,FALSE,0.806394316,631,,
920,twilnyn,1121,1108,FALSE,0.988403211,109,,
3795,awedreee,1121,680,FALSE,0.606601249,697,,
5678,winnielaw2265,1120,577,FALSE,0.515178571,222,,
10901,kuahwenting,1118,972,FALSE,0.86940966,124,,
7058,milifeinanutchelle,1117,1010,FALSE,0.904207699,913,,
3634,hazeyyy,1114,1022,FALSE,0.917414722,1276,,
11164,chanelasw,1112,901,FALSE,0.810251799,590,,
8289,haezmogloblin,1106,704,FALSE,0.636528029,131,,
9168,sophia.tan,1103,727,FALSE,0.659111514,519,,
13269,clarrraaabb,1101,615,FALSE,0.558583106,269,,
9966,poyosann,1100,503,FALSE,0.457272727,2371,,
10120,drummingkitten,1100,618,FALSE,0.561818182,358,,
5722,kolathecutey,1096,864,FALSE,0.788321168,422,,
10147,notchannyy,1095,542,FALSE,0.494977169,444,,
3974,cannonsntulips,1091,277,FALSE,0.253895509,447,,
2368,mason.n.mayen,1086,818,FALSE,0.753222836,1363,,
2587,ljoanna,1086,448,FALSE,0.41252302,2269,,
2844,10.lifts,1084,1044,FALSE,0.963099631,2151,,
700,katrinajamie11,1077,1046,FALSE,0.971216342,949,,
740,__kacx_,1071,837,FALSE,0.781512605,780,,
5423,quartz_myheart,1069,480,FALSE,0.449017774,101,,
6099,sabr0cks,1062,918,FALSE,0.86440678,173,,
4740,mamawhooil,1061,716,FALSE,0.674835061,731,,
7308,toywenjiaaa,1054,999,FALSE,0.947817837,1678,,
12356,monamichi.jpg,1051,537,FALSE,0.51094196,123,,
7250,jocelynviolin,1049,468,FALSE,0.44613918,295,,
9206,lapidary.magpie,1048,564,FALSE,0.538167939,268,,
5888,valerietjahjono,1043,1015,FALSE,0.973154362,6263,,
3435,cassandrajeraldine,1037,828,FALSE,0.798457088,429,,
5627,steph_wongwy,1035,910,FALSE,0.879227053,898,,
9699,_jottedj_,1027,729,FALSE,0.709834469,1318,,
6397,fakkaeu,1025,394,FALSE,0.384390244,112,,
3852,wangg.ch_,1020,796,FALSE,0.780392157,245,,
7193,julinantwt,1012,862,FALSE,0.851778656,982,,
8725,min.x.xx,1010,998,FALSE,0.988118812,3653,,
10168,atelier.nanae.iwami,1008,845,FALSE,0.838293651,248,,
4873,siyingx3,1006,861,FALSE,0.855864811,699,,
